Tweets,Polarity,Subjectivity,URL
"RT @ThomasWictor: (4) Whatever happened to that ""Trump is Putin's stooge"" narrative?

Have Albania INVITE US IN is yet ANOTHER Trump victor…",Negative,Subjective,
"RT @wontbackdown222: This is the most concise and well written summary of how we got to where we are today. Dates, facts, names. A little l…",Positive,Subjective,
"RT @anderlecw: #Trump #America #AmericaFirst #GOP #TeaParty #MAGA

Ladies and Gentlemen, 

May I present to you the by far most tolerant, s…",Positive,Objective,
RT @VABVOX: Why hasn't Trump tweeted a thanks/congratulations to #JamesShawJr for his heroic actions stopping a mass shooter at the #Waffle…,Positive,Subjective,
"RT @LeonardPittsJr1: ""None is more important than respect —for the dignity of LGBTQ people, for the equality of women, for the humanity of…",Positive,Subjective,
"RT @SputnikInt: #Iran warns @realDonaldTrump: If #NuclearDeal betrayed, there'll be severe consequences
https://t.co/IceXNvfR9Q https://t.c…",Negative,Objective,https://t.c…
"RT @krassenstein: If you want the US to beat China, the best thing we can do is to invest heavily in solar energy so that we, not China, ar…",Positive,Objective,
RT @Sarahchadwickk: “Sleepy eyes” is an anti Semitic term that was and is stilled used by neo- nazis groups relating to “how to spot a Jew.…,Negative,Objective,
"RT @Trillburne: I actually bet Trump and Macron get along great-- Trump is the exact type of vulgar, acquisitive simpleton that French peop…",Positive,Objective,
#WhiteHouse ! https://t.co/8U38GItmWQ :: President Donald J. Trump Signs H.R. 3445 and H.R. 3979 into Law,Negative,Objective,https://t.co/8U38GItmWQ
#WhiteHouse ! https://t.co/ULTWWA0fBX :: President Donald J. Trump And President Emmanuel Macron Continue To Build… https://t.co/BHXhppFstW,Negative,Objective,https://t.co/BHXhppFstW
"RT @jonathan_jerald: Seth Meyers: If the feds put pressure on Trump, ‘there’s a good chance he’ll flip on himself’ #SmartNews  https://t.co…",Positive,Subjective,https://t.co…
#Roman Imperial Gratitude.   via @NYTimes https://t.co/3IBMNkEKTy,Negative,Objective,https://t.co/3IBMNkEKTy
#WhiteHouse ! https://t.co/jXHFVcOAkI :: Readout of President Donald J. Trump’s Call with President Sauli Niinistö of Finland,Negative,Objective,https://t.co/jXHFVcOAkI
"Ah la nature!! Un chêne planté par deux glands!!! ""Macron et Trump ont ""planté"" le chêne offert par l'Elysée""",Negative,Objective,
